idea_id,source_type,source_ref,raw_idea,hypothesis,rationale,confidence_seed,status,created_at,owner,linked_fcode,review_cycle,hit_status,note,fcode,priority,priority_score,priority_basis
i20260820-025,xuntou_kanban,迅投因子看板(沪深300/近1年)/技术指标因子,"120日指数移动均线：迅投口径 IC=0.694, IR=0.271, 最大分位超额=24.65%, 最大分位换手=0.06%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「技术指标因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0021a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0021a（120日指数移动均线）；我方PIT口径 RankIC=-0.0090 / ICIR=-0.095 / 胜率46.5% / Sharpe=0.65 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,41.5,"xuntou量化价值分（IC=0.69,IR=0.27,超额=24.6%,换手=0.06%）"
i20260820-021,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"20日成交金额的移动平均值：迅投口径 IC=0.769, IR=0.245, 最大分位超额=20.69%, 最大分位换手=0.02%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0023a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0023a（20日成交金额的移动平均值）；我方PIT口径 RankIC=-0.0135 / ICIR=-0.134 / 胜率43.6% / Sharpe=0.86 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,41.3,"xuntou量化价值分（IC=0.77,IR=0.24,超额=20.7%,换手=0.02%）"
i20260820-023,xuntou_kanban,迅投因子看板(沪深300/近1年)/技术指标因子,"5日移动均线：迅投口径 IC=0.759, IR=0.311, 最大分位超额=28.34%, 最大分位换手=0.42%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「技术指标因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0022a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0022a（5日移动均线）；我方PIT口径 RankIC=-0.0092 / ICIR=-0.096 / 胜率46.6% / Sharpe=0.58 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,41.2,"xuntou量化价值分（IC=0.76,IR=0.31,超额=28.3%,换手=0.42%）"
i20260820-016,xuntou_kanban,迅投因子看板(沪深300/近1年)/情绪类因子,"20日资金流量：迅投口径 IC=0.837, IR=0.109, 最大分位超额=20.93%, 最大分位换手=0.02%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「情绪类因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0024a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0024a（20日资金流量）；我方PIT口径 RankIC=-0.0147 / ICIR=-0.150 / 胜率43.5% / Sharpe=0.66 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,40.1,"xuntou量化价值分（IC=0.84,IR=0.11,超额=20.9%,换手=0.02%）"
i20260820-015,xuntou_kanban,迅投因子看板(沪深300/近1年)/技术指标因子,"12日指数移动均线：迅投口径 IC=0.845, IR=0.31, 最大分位超额=18.31%, 最大分位换手=0.28%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「技术指标因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0020a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0020a（12日指数移动均线）；我方PIT口径 RankIC=-0.0090 / ICIR=-0.093 / 胜率46.3% / Sharpe=0.57 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,39.9,"xuntou量化价值分（IC=0.84,IR=0.31,超额=18.3%,换手=0.28%）"
i20260820-027,xuntou_kanban,迅投因子看板(沪深300/近1年)/技术指标因子,"10日指数移动均线：迅投口径 IC=0.572, IR=0.665, 最大分位超额=17.17%, 最大分位换手=0.3%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「技术指标因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0019a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0019a（10日指数移动均线）；我方PIT口径 RankIC=-0.0090 / ICIR=-0.093 / 胜率46.5% / Sharpe=0.59 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,39.6,"xuntou量化价值分（IC=0.57,IR=0.67,超额=17.2%,换手=0.30%）"
i20260820-026,xuntou_kanban,迅投因子看板(沪深300/近1年)/技术指标因子,"5日指数移动均线：迅投口径 IC=0.604, IR=0.116, 最大分位超额=27.93%, 最大分位换手=0.41%",该因子在迅投口径下 IC 高且低换手高超额，可尝试在我方 PIT 口径（pit_float_mcap 中性化、exec_lag=1）下复现并验证方向,来自迅投因子看板「技术指标因子」，属 IC/IR 排名靠前且性价比优（低换手高超额）的因子，值得作为灵感候选,medium,validated,2026-08-20,factor-scout,f0018a,2027-02-16,pending,⚠️ 迅投 IC 量级 0.2~0.99 非 RankIC，不可直接对比我方 RankIC；仅作灵感来源，须我方口径重测 | 已交付f0018a（5日指数移动均线）；我方PIT口径 RankIC=-0.0092 / ICIR=-0.095 / 胜率46.4% / Sharpe=0.61 / 方向反向；迅投IC为另一口径，强弱交策略组判,,P1,31.6,"xuntou量化价值分（IC=0.60,IR=0.12,超额=27.9%,换手=0.41%）"
i20260805-004,paper,Glasserman et al. arXiv:2507.04481 (2025-07),"近30年美股几乎全部涨幅来自隔夜,日内为负;隔夜/日内比例是股票层面稳定特征",过去60日隔夜收益占累计总收益比例越高→未来20日收益越高;该比例为负(收益全靠日内)→收益更低,"高隔夜占比=定价由信息驱动而非流动性冲击,价格发现更干净;A股T+1/涨跌停改变隔夜性质,须独立验证方向",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260805-005,paper,Price Pressures from Daily Mutual Fund Flows SSRN 5378243 (2025-08),"基金持仓×日度申赎推算买卖压力,流入与流出压力高组未来20日都有正异常收益",由资金流推算的买卖压力绝对值处于截面高分位→未来20日收益更高;压力最低组更低,"流入=价格冲击延续;流出后正收益=流动性提供者补偿,被动抛售压低后数周回补;A股可用|异常成交额z|×机构持股代理",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260805-006,paper,Liu et al. LLM Disagreement SSRN 5395056 (2025-08),"6个大模型解读同一批业绩说明会文本,分歧度(LLMD)显著负向预测截面收益","分歧度代理(20日换手率z × 20日特质波动率z,行业内标准化)越高→未来20日收益越低","Miller(1977)卖空约束下分歧定价,乐观者主导成交股价被高估;A股卖空成本极高机制应更强",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260805-007,paper,Vlasiuk & Smirnov arXiv:2511.06177 (2025-11),SPY逐笔数据:大幅负向推动后的正向响应显著强于同等幅度正向推动后的负向响应,"过去5日收益为负的股票,其反转强度(未来5日vs过去5日收益负相关斜率)大于收益为正的股票→非对称5日反转多空更高","抛压冲击后做市/接盘方要求补偿价格超调回补,买盘冲击更多含信息回撤更弱;纯微观结构,对reversal(5d)直接改造",high,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260805-008,zoo,Alpha Architect quality / Hsu-Kalesnik-Kose FAJ 2019Q2,"Hsu等发现quality指数彼此相关性低,'低盈利波动/低杠杆'实质是低波代理,独立的是收益路径性质","过去60日累计收益相同的股票中,日收益序列对时间回归R²(趋势平滑度)越高→未来20日收益越高","温水煮青蛙:连续小幅上涨反应不足更持久;少数大阳线堆出的涨幅已定价充分甚至过度,低R²伴彩票属性",mid,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,45.0,因子动物园来源，研究价值中等
i20260805-009,zoo,Bali-Cakici-Whitelaw MAX factor / 低波综述,"高波动有'中大奖'可能的股票被系统性高估,长期跑输低波;A股散户占比高应更强",过去20日单日涨幅最大5天的平均涨幅(MAX5)越高→未来20日收益越低(行业市值中性化后),"前景理论下投资者为彩票型资产付溢价,卖空约束使高估无法套利;涨停板强化'连板想象'机制更显著",mid,hypothesized,2026-08-05,factor-scout,,2026-11-03,pending,,,P2,45.0,因子动物园来源，研究价值中等
i20260806-001,paper,"A Unified Framework for Anomalies Based on Daily Returns (Cakici/Fieberg/Neszveda/Bianchi/Zaremba, 2026-01-02) https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6005614",过去21个交易日日收益序列排序后最低3日收益均值越低(极端负收益日越极端)→未来20日收益越高;该MIN型信息独立于MAX彩票效应,"行业+市值中性化后,过去21日日收益升序排列的最低3日均值(MIN3)越低,未来20日收益越高(MIN3 与未来20日收益 RankIC 显著为负)","DRIF(Daily Return Information Factor)主张：上月日收益的完整序列(而非仅均值/波动)映射未来收益,能吸收多数短周期与彩票型异象。已有池中仅有 MAX5(上尾),缺下尾对称检验。机制:极端下跌日多由流动性冲击/强制抛售造成,后续均值回复。数据:仅需日频OHLC,baostock可直接算。风险:与已有 i20260805-009(MAX5)、i20260805-007(短期反转)相关性需先测,若|corr|>0.7 应合并而非并列",high,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260806-002,paper,"Common Idiosyncratic Quantile Factors and Asset Prices (Barunik & Nevrla, arXiv:2208.14267v5, 2026-03-11) https://arxiv.org/pdf/2208.14267v5","个股对'全市场特质收益下尾分位数'创新的暴露(下尾共同特质风险beta)越高→未来收益越高,年化溢价7-8%","每日先对个股收益剔除市场因子得特质收益,取全截面10%分位数构成下尾序列;个股对该序列日度变化的250日滚动beta越高,未来20日收益越高(高beta组减低beta组月均超额>0)","CIQ(Common Idiosyncratic Quantile)论文:特质收益的下尾存在共同因子,对其暴露有7-8%/年溢价,且控制标准因子、特质波动率、Kelly-Jiang尾部风险后仍显著;溢价集中在下尾、中位与上尾无溢价——这条不对称性正是它区别于普通波动率因子的地方。数据:日频收益即可(市场收益用中证全指或等权全市场代理)。A股检验点:散户主导+涨跌停限制下,尾部共振是否更强",high,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260806-003,paper,"Sparse principal component factors in asset pricing: evidence from the Chinese stock market (Xu/Wu/Zhou, Annals of Operations Research 357(1), 2026) https://econpapers.repec.org/article/sprannopr/v_3a357_3ay_3a2026_3ai_3a1_3ad_3a10.1007_5fs10479-025-06666-w.htm","对已有多因子做稀疏主成分(PC)再合成的SDF,截面预测力优于对原始特征直接稀疏加权;中国市场同样成立","将因子池内各因子截面标准化后取前2-3个稀疏主成分作为合成打分,其未来20日 RankIC 与 ICIR 高于现有 ICIR 加权合成(同期同池对比,ICIR 提升>10%)","论文用25个size/BM双排序组合与72个异象特征实证:PC型SDF比原始特征型稀疏SDF定价误差更低,且在中国这种散户驱动、特质风险大的新兴市场依然占优。这条不是新因子而是**合成层**的改进假设,直接对标 portfolio/combiner.py 现有 ICIR 加权。落地成本低:纯数值层改造,不需新数据。风险:PC 无经济含义,主成分符号需锚定;因子数<5时 PCA 收益有限,应等池子扩到10个以上因子再测",high,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,45.0,学术/论文来源，研究价值中等
i20260806-004,paper,"Taming the global factor zoo (Chen/Han/Tang/Zhu, Journal of International Money and Finance 160, 2026-01) https://www.sciencedirect.com/science/article/abs/pii/S0261560625002013","全球7因子LASSO筛选结果:profit growth(盈利增长)是少数几个跨36国稳健的截面因子之一,溢价32-81bp/月、|t|>=3","单季度归母净利润同比增速(YOYNI,按可得时点滞后至公告日后)截面越高,未来20日收益越高;剔除ST与上市不足1年新股后,行业中性化 RankIC 显著为正","Chen/Han/Tang/Zhu 用两步LASSO从152个异象、48120只股票、36个市场里筛出7因子(市场/盈利增长/质量/动量/投资/规模/债务发行),盈利增长是其中之一,且'全球因子跑赢本地模型'。国内佐证:招商因子周报20260612 中证1000池'单季度净利润同比增速'当周表现居前。价值在于:当前灵感池 12 条全是量价,零基本面,风格暴露单一。数据缺口:baostock query_growth_data 提供 YOYNI(季频),需新建财报可得时点对齐逻辑(4/30、8/31、10/31 之后才可用)以防前视",high,hypothesized,2026-08-06,factor-scout,,2026-11-04,pending,,,P2,45.0,学术/论文来源，研究价值中等
